Metodo de Euler
y(0.0) = 0.0
h =0.1
 0 0.0000000
 1 0.1000000
 2 0.2300000
 3 0.4020000
 4 0.6328000
 5 0.9459200
 6 1.3742880
 7 1.9640032
 8 2.7796045
 9 3.9114463
10 5.4860248
11 7.6804347
12 10.7426086
13 15.0196520
14 20.9975128
15 29.3565179
16 41.0491251
17 57.4087751
18 80.3022852
19 112.3431992
20 157.1904789

Metodo de Euler Inverso
y(0.0) = 0.0
h =0.1
 0 0.0000000
 1 0.1300000
 2 0.3188000
 3 0.5993280
 4 1.0229517
 5 1.6698046
 6 2.6648952
 7 4.2032365
 8 6.5890490
 9 10.2969164
10 16.0671896
11 25.0548158
12 39.0615126
13 60.8979597
14 94.9488171
15 148.0541546
16 230.8844812
17 360.0857907
18 561.6258335
19 876.0143002
20 1366.4463083

Metodo de Euler Aprimorado
y(0.0) = 0.0
h =0.1
 0 0.0000000
 1 0.1150000
 2 0.2732000
 3 0.4953360
 4 0.8120973
 5 1.2689040
 6 1.9329779
 7 2.9038073
 8 4.3286348
 9 6.4253794
10 9.5165616
11 14.0795111
12 20.8206764
13 30.7856011
14 45.5216897
15 67.3191007
16 99.5672691
17 147.2825583
18 217.8891862
19 322.3749956
20 477.0019935

Metodo de Runge Kutta
y(0.0) = 0.0
h =0.1
 0 0.0000000
 1 0.1172000
 2 0.2797378
 3 0.5099076
 4 0.8409661
 5 1.3225238
 6 2.0285862
 7 3.0695497
 8 4.6100962
 9 6.8958875
10 10.2933853
11 15.3492526
12 22.8789651
13 34.0989949
14 50.8239939
15 75.7609392
16 112.9479184
17 168.4086815
18 251.1290571
19 374.5135055
20 558.5579065

